,SD_channels,Kurt_channels,standardizeDenoms,goodChanInds,X,Y,Z
GRID1,35.3985346666,6.15478127915,28.9786500492,0.0,-45.6484950903,38.5603724181,36.187962385
GRID2,55.5187267174,1.30933176844,48.2471422028,1.0,-47.3471517172,31.1828613997,41.1767988065
GRID3,33.9920080212,1.58515442846,31.0778001045,1.0,-50.2914089125,22.1572082637,45.1918851373
GRID4,33.7012614154,2.65256403814,28.6515091198,1.0,-51.3589611831,11.7872676795,48.7265092527
GRID5,59.6484697843,2.62686693582,51.301158847,1.0,-51.2198180497,1.71388884201,53.0009812301
GRID6,76.6845865781,5.4482668879,58.777123423,1.0,-51.215001469,-6.68089221734,57.9945048124
GRID7,52.2768688931,0.546240219374,51.0634397186,1.0,-52.2910199895,-18.1272260936,61.4128271073
GRID8,45.4225536298,2.70706329818,37.6853817719,1.0,-53.8964688089,-29.059873444,62.7091017101
GRID9,30.8040503397,4.11004121991,25.8266687141,1.0,-50.1364956236,38.7486409599,26.3590611427
GRID10,37.1507814436,2.20935835976,33.2178349995,1.0,-53.5605787532,30.041449651,30.9385416832
GRID11,28.6976947396,2.95560694334,24.6122577656,1.0,-55.6696334513,17.9799387948,32.6131464302
GRID12,43.9913524594,2.77745714933,37.9566390244,1.0,-56.3854378042,9.91297630111,37.6716838041
GRID13,73.900003309,6.19847045652,58.7901936768,1.0,-57.6760755498,2.96318009504,42.2564484162
GRID14,53.6655262246,3.59264562547,44.8474057526,1.0,-59.524749037,-9.85282413322,48.73530041
GRID15,35.7636966799,1.96435442299,31.2390658836,1.0,-59.7251970705,-18.8562556399,52.043448796
GRID16,36.4326963041,1.51091719509,32.0181796944,1.0,-60.3071075837,-31.0143509678,52.4953761725
GRID17,34.8385033101,2.45889750727,31.8682026329,1.0,-53.1917204322,37.2688681569,14.1104016183
GRID18,28.2000030781,1.76107291876,25.3724477039,1.0,-56.5948410887,25.9749578914,17.1731556028
GRID19,38.5644859708,3.20224416924,34.3412575264,1.0,-57.6019541685,18.1306384916,22.0592860445
GRID20,41.8865699062,1.66357233449,37.350464296,1.0,-59.7190910972,9.01677294426,26.4658671075
GRID21,40.4448005379,3.02574222231,35.0266031536,1.0,-62.5125286286,-0.182670671686,29.1519951251
GRID22,47.7487742501,76.2912304749,33.7739881531,0.0,-65.2187441429,-11.1824939039,34.3158721491
GRID23,37.6011099816,14.9034361178,29.931118634,1.0,-65.985325694,-23.041678343,39.2374560614
GRID24,31.4972587595,2.49533123343,26.9579922123,1.0,-65.4076868982,-33.896711691,40.4447601063
GRID25,31.5979577759,5.93082850302,25.3585319275,1.0,-55.0478467816,33.7634791485,1.49174694979
GRID26,14.6340454372,4.36243211157,12.8785533995,1.0,-54.9110866408,23.7511289046,4.48218411056
GRID27,23.4123520441,1.60406677352,20.986701717,1.0,-57.0339174515,15.4899627346,6.79840285623
GRID28,37.7007383818,1.54739312268,33.3677866104,1.0,-62.1013766457,8.53422172722,10.5850596975
GRID29,36.3790012998,6.68737616754,28.7570184746,1.0,-65.0943933632,-2.99220494088,14.169681471
GRID30,40.4547037533,50.8455538112,26.6146223373,0.0,-67.0814950908,-14.8984414908,19.5129557548
GRID31,36.1604896276,8.2683194515,25.8687638672,1.0,-67.1379655253,-25.95142448,26.9496915721
GRID32,27.3328990291,3.56562222941,22.1785097797,1.0,-66.2515480099,-33.6297321587,30.5859829123
GRID33,34.2207286207,2.28467655903,30.9240620224,1.0,-49.4355049909,24.3204913981,-13.1815811221
GRID34,20.16909142,4.4567665366,17.875425654,1.0,-51.3663760728,17.1022005186,-6.36666739777
GRID35,24.2743776008,1.40557979752,22.0000705582,1.0,-55.1908677928,10.8595216428,-3.04008321817
GRID36,34.4861793947,1.15667625979,30.9399346607,1.0,-60.3824691122,5.37779615782,-1.64598036699
GRID37,477.263663628,234.109736988,17.9827193727,0.0,-63.9893929208,-6.05898799695,3.37456455909
GRID38,31.7832396404,4.11367390691,26.3310300682,1.0,-66.4229481994,-16.1969516644,8.03619150117
GRID39,73.5744992552,17.0295564927,31.4439510189,1.0,-68.0009804593,-25.8451365286,12.0925242595
GRID40,53.4661095773,32.0771407384,25.0908320915,1.0,-67.259894964,-37.036514185,18.1103202266
GRID41,33.6270240967,4.18424069163,28.6256372566,1.0,-44.1246145386,23.9776855636,-25.8713218539
GRID42,38.764810581,1.30671309535,35.4684523853,1.0,-50.9125049572,17.1612914026,-22.607709642
GRID43,62.5669550085,1.70471464742,53.8512213455,1.0,-55.5347441376,10.3943707101,-14.6480624769
GRID44,70.3537519887,2.09146637815,58.7048383026,1.0,-60.9930023484,3.05045510166,-10.3460684428
GRID45,47.4746286075,1.53286423195,40.80977192,1.0,-65.2245949439,-9.23078318571,-5.84126524575
GRID46,40.2848263598,3.24291187615,31.7512094398,1.0,-67.6372330738,-19.3607641056,-2.55445875121
GRID47,45.6388070309,15.3499654638,33.0663337349,1.0,-68.7278256686,-28.5458998967,1.40370154883
GRID48,45.6756800381,20.1424620329,31.4169310547,1.0,-69.6599318969,-39.0455487877,5.57550349133
GRID49,66.6816029905,3.36639605155,53.5655082001,1.0,-42.3528364092,20.5870050552,-34.7457675131
GRID50,77.0431228528,3.40435935207,58.2946777908,1.0,-51.0093943661,15.0583396989,-31.7279851261
GRID51,63.0235991331,2.42253607023,53.2827812485,1.0,-57.1800453318,8.0562292788,-28.5266220772
GRID52,55.9715979374,2.49588367348,47.3494855453,1.0,-61.7718129907,-0.9201076869,-24.5663386504
