,SD_channels,Kurt_channels,standardizeDenoms,goodChanInds,X,Y,Z
GRID2,30.7459413629,2.04387702431,25.6393939219,0.0,-48.9428643184,-12.8383550415,63.6459326692
GRID3,30.5862765302,2.7808193435,25.4691568359,1.0,-53.9646556103,-8.39792795775,57.0598653334
GRID4,40.3375283887,3.66781171586,31.675160471,1.0,-56.1381311136,-0.802481822973,48.4292095649
GRID5,40.2471266689,6.54323375172,29.5237195032,1.0,-59.3537347014,4.62240190304,37.514047606
GRID6,27.7425401893,4.70207830918,21.8476226758,1.0,-59.5298743249,9.93512980774,25.8814524027
GRID7,17.6706791825,3.78281546589,14.0748145955,1.0,-60.3724395136,13.4444551572,13.8796638793
GRID8,26.2408979702,4.19202130803,20.9587740177,1.0,-57.4272698856,14.9527490487,3.04017913748
GRID10,35.8247323049,2.12755215031,29.8384009912,1.0,-43.6223976658,-7.7485522078,67.1451429799
GRID11,32.0186276302,2.69305308641,26.9046026859,1.0,-48.4748864627,-0.143655973055,61.7937564819
GRID12,33.3859622947,4.54908935153,25.6283795042,1.0,-52.0079930252,5.81410165871,52.3673384985
GRID13,34.1864882017,5.53052438366,25.3195191147,1.0,-54.2977295964,11.9848466864,42.9208892596
GRID14,32.9839850951,5.71828688629,25.1421997158,1.0,-55.4428455707,15.6660686207,32.8258034672
GRID15,46.2700860885,4.85424504579,36.0428648701,1.0,-56.5661435365,22.0242571461,20.4091976746
GRID18,34.9618150794,2.76660573471,29.2966217234,1.0,-32.935755849,-0.234672248713,69.0033236822
GRID19,43.3287335022,4.94636013222,32.9530605589,1.0,-39.6960442506,8.16633176723,65.6366379723
GRID20,61.4989090112,7.55197595812,39.2299594334,1.0,-45.5776554559,13.8500408096,56.2494903899
GRID21,40.1989810332,4.70393090526,31.3803035208,1.0,-47.2616982707,20.8751607507,48.8929182465
GRID22,45.0198822344,6.01309980649,32.8458658144,1.0,-49.5597517938,25.6748954742,38.4865773984
GRID23,45.5949752751,4.82067767124,35.3121791491,1.0,-51.6127936469,31.5636103137,29.4404875053
GRID26,30.3168901474,4.93469589741,23.5865906696,1.0,-27.1328006826,7.17479604279,70.3350029149
GRID27,41.7197127089,4.1662068478,33.1301169691,1.0,-31.8338462679,15.3211514399,66.0105208026
GRID28,46.8363448804,7.73431161066,29.9994829611,1.0,-34.8349053218,21.0553523099,59.4833535086
GRID29,38.6062962203,4.70281251688,29.9893550697,1.0,-39.6687664315,26.6036775732,52.8200656022
GRID30,40.1985034618,7.34616632165,26.7077570858,1.0,-42.0010585586,34.6311518533,41.76483329
GRID31,51.1819830388,4.63624731922,39.1177990105,1.0,-44.5752446654,38.3424299057,34.3978057714
GRID34,58.5436622388,8.08572311952,38.9096689344,1.0,-61.3252047156,-56.2962640356,38.9984604212
GRID35,53.5041416833,5.45748924686,41.4209547443,1.0,-64.7898352234,-50.2725174941,33.2870516752
GRID36,54.6120038038,3.87272523274,42.1217488346,1.0,-67.4436864734,-41.8112535641,24.3787139051
GRID37,38.9538132178,3.94447277482,30.4670513529,1.0,-67.4484989889,-36.8707285664,16.6816246855
GRID38,50.9114377023,3.54936126669,39.1641967146,1.0,-68.7026717634,-29.3012681686,7.42124656629
GRID39,50.3247417671,2.24261341854,41.8952562115,1.0,-68.5311226388,-22.4676879242,-1.45466427438
GRID40,42.3847126564,1.59715442623,36.8732756092,1.0,-68.7049504706,-17.9829242612,-8.80480530773
GRID42,49.9219834871,9.01042493739,32.579012915,1.0,-60.8395003644,-50.0905871399,47.2023697282
GRID43,48.7117928866,8.96117266442,32.1413262566,1.0,-64.7370116157,-42.0381509796,39.6674895399
