,SD_channels,Kurt_channels,standardizeDenoms,goodChanInds,X,Y,Z
GRID1,74.413420815,78.6127291968,51.4469280899,0.0,-53.9238423611,42.93428065,6.52890156573
GRID2,62.6509886808,15891.1649473,31.6945580057,0.0,-55.1027419437,36.2748765652,14.6226338508
GRID3,92.7608608157,3953.06033777,61.9752267483,0.0,-56.9283361436,29.7238188885,24.415667312
GRID4,127.201320612,20.7436866318,102.499294006,1.0,-55.5965276307,23.4992179121,34.648767496
GRID5,80.4389574108,60.5252605864,68.6592872154,1.0,-54.1959549454,15.7504794115,42.0010513613
GRID6,39.3898641106,215.028610955,31.3296569944,1.0,-52.3356371833,8.5850886839,49.1415635566
GRID7,39.3150068166,73.1488623847,31.523991477,1.0,-50.7838295444,3.10500931814,54.7668246762
GRID8,29.0529981542,5.36296356063,25.8630021532,1.0,-47.5150114353,-6.54105896973,61.0250439528
GRID9,51.4113916585,78.1612375293,37.7106908958,1.0,-54.1818637875,36.1140866322,-6.67877090635
GRID10,79.9891441642,123.343947329,53.260497908,1.0,-57.5984495643,31.1693400859,1.10489675642
GRID11,69.0013508766,48.8901341101,47.963680014,1.0,-59.8781854028,22.6091447884,12.0446568914
GRID12,79.8185562049,18.690938889,64.8323186131,1.0,-59.9895738738,16.4667620625,23.5717414128
GRID13,52.2665529589,1183.08689943,40.23328946,1.0,-59.3981305842,10.4998813009,31.998782258
GRID14,50.7922612383,52.279852784,41.697662649,1.0,-57.918436671,2.71997334857,41.7836609168
GRID15,59.9234971812,12881.558195,40.566918857,0.0,-56.8248077993,-4.12755786205,49.1130650936
GRID16,56.9578849978,10296.8905521,38.6261615004,0.0,-53.7108256706,-12.4963628171,56.0561720999
GRID17,62.893178296,7.32459972356,50.6457797882,1.0,-51.7020793647,29.0581274801,-13.8282100614
GRID18,39.6352816246,244.583163872,29.2297603907,1.0,-55.0259580246,23.3067946466,-5.32505001381
GRID19,105.687570882,25.493289629,84.4418335384,1.0,-58.1846123434,15.7680411889,3.40584869063
GRID20,54.7163754622,92.0354285239,43.1671528055,1.0,-62.1270639092,11.0141701526,14.0336435513
GRID21,37.4747886986,1104.1210854,29.5496846849,1.0,-62.6463933009,4.30188085358,21.5320369712
GRID22,45.9162184108,5.06515555958,36.4470501663,1.0,-62.5785330997,-2.85260302595,31.9362807136
GRID23,62.8136662343,10.9232660341,53.9092711441,1.0,-62.59804006,-10.3373089588,40.529789448
GRID24,59.9752838635,2.45860397527,50.1710202118,1.0,-60.4469696076,-18.0360333124,47.3574955236
GRID25,35.3253823254,1166.90862685,25.069012516,1.0,-46.7446874795,24.051866115,-20.8831074056
GRID26,26.2968689458,300.410567313,20.5185147363,1.0,-54.0568503449,17.5732355954,-10.8277011174
GRID27,30.0370441982,731.272766898,22.500011299,1.0,-57.2897517946,11.8547713447,-4.95138094657
GRID28,35.2890189215,161.691712696,27.3092291245,1.0,-61.5271108245,3.43065754755,5.84074414201
GRID29,29.6797155827,4119.42286933,21.7790243454,0.0,-62.916771183,-1.66952570039,10.5313499739
GRID30,51.2993447159,400.349801463,39.3692783844,1.0,-66.401871731,-7.56227305968,20.5633295541
GRID31,57.350490222,3.61226413295,45.672700938,1.0,-67.3410776068,-16.1510517471,30.6605059842
GRID32,58.9874325025,7.04737934763,43.8021417595,1.0,-66.1980172799,-24.9270180644,39.5625207206
GRID33,46.9959821918,420.075741548,33.2740141851,1.0,-54.9316007642,12.479743208,-20.4111324323
GRID34,36.3683537205,62.9457869443,26.7496910522,1.0,-60.697138689,5.25557008707,-10.0087382763
GRID35,26.8878536986,250.377941531,20.8359293269,1.0,-63.7408142003,-2.89370880821,-0.777280146752
GRID36,32.6854585582,183.742959673,23.9075471237,1.0,-65.8460000524,-9.79601551377,5.46028358161
GRID37,28.9887032536,104.675829251,23.1986244215,1.0,-69.3099236952,-18.1140621755,13.5203690322
GRID38,34.2087957158,5.35213959586,25.8159597027,1.0,-69.0052516078,-26.0534248448,22.4336912627
GRID39,49.1755667336,163.443346915,33.4610471975,1.0,-67.1462704959,-36.1946753766,30.5488846202
GRID40,52.0469829627,57.2825841014,43.1999245863,1.0,-66.3647862859,-43.4749660448,32.3006713081
GRID41,64.1702229309,21.1434771854,47.3621429352,1.0,-59.8516908056,5.35609636215,-26.9038376947
GRID42,70.9738592779,6.17221531354,50.3552593231,1.0,-65.7070995769,-2.17533742402,-16.0382165355
GRID43,67.3774589195,14.3675090998,52.098393425,1.0,-67.76277352,-6.84782854466,-8.42172350993
GRID44,47.760492486,15.7161121163,35.8498410891,1.0,-68.5480242554,-16.3373972286,-0.345205298724
GRID45,44.8456107033,31.9703358337,35.0163338705,1.0,-70.1762820411,-27.0423257357,5.04573924007
GRID46,57.8575092968,15.0249639112,47.4431703077,1.0,-69.4584752522,-35.0799621689,15.2886545805
GRID47,60.0992762988,4.99030850367,46.5823645832,1.0,-67.5446684157,-42.9116868819,19.6933449981
GRID48,66.0784840184,3.18895589601,55.3173181,1.0,-65.6042448139,-49.5777698009,25.9832920406
GRID49,60.5453094751,4.23576540636,45.82678543,1.0,-60.5708041941,-4.8040563699,-36.1030963377
