,SD_channels,Kurt_channels,standardizeDenoms,goodChanInds,X,Y,Z
L Grid1,235.268023982,1017.60739223,4.53363893394,0.0,-35.2152507078,-19.1897843822,73.2712429091
L Grid2,234.818398811,1115.39791298,4.46363446255,1.0,-34.9370361605,-28.8589104641,73.8802428761
L Grid3,238.737499824,995.262033695,4.34483993855,1.0,-34.8119213231,-41.1224959307,72.7495738015
L Grid4,244.581052538,1087.51419931,4.78944489555,1.0,-29.4020539835,-49.8297343492,72.6233577844
L Grid5,268.698814061,920.056927251,4.56406573248,1.0,-26.0692693137,-60.6196890399,69.6208082407
L Grid6,235.908006821,1029.81628775,4.52284508743,1.0,-22.8405907147,-70.0465488387,65.2524100114
L Grid7,239.621500895,1070.40736909,4.55909722624,1.0,-15.2571543071,-77.9649216486,58.8659696192
L Grid8,241.342987407,1000.09616163,4.59847270889,1.0,-8.73100782697,-82.7767857534,50.7091110571
L Grid9,87.1999622612,3.76858818429,63.8964211418,1.0,-44.4797331439,-19.1583056605,67.6103540417
L Grid10,273.242955613,1521.94489279,26.2919126255,1.0,-45.0922762604,-31.9084497082,68.2194830195
L Grid11,207.706990731,977.792391762,6.27352243938,1.0,-43.7713059369,-42.4908004722,66.7470751121
L Grid12,402.462164515,979.239524651,5.87586095867,1.0,-39.3243210148,-51.7003606307,66.9857293353
L Grid13,368.464159582,1026.45412184,4.68185990982,1.0,-36.9801313755,-64.2778241141,62.103233848
L Grid14,199.625534746,3454.38514006,33.6750422035,1.0,-29.9080423824,-73.7151757748,57.3294876768
L Grid15,1128.82556212,98.8951501699,19.9553874344,0.0,-24.7354459845,-79.9564425607,51.1213130907
L Grid16,49.7806111386,1.10490017628,45.7426304718,1.0,-16.1045825588,-85.7199221811,48.5185223762
L Grid17,223.919635352,946.063711067,5.4474524271,1.0,-53.7841313207,-21.9789355004,60.3268725446
L Grid18,238.304106962,1083.96335889,4.45840897679,1.0,-52.9416377767,-33.523198378,59.7137739883
L Grid19,241.930809116,1004.08740643,6.26657303467,1.0,-51.2814760621,-43.0926055309,58.7062839541
L Grid20,242.598853152,1044.58948282,4.62760435896,1.0,-48.0121045581,-53.4705162027,58.9665062138
L Grid21,233.663805441,852.21510568,4.8713347578,1.0,-44.8800546768,-67.02411027,52.7011741438
L Grid22,135.398127593,8233.6166927,28.6022001595,1.0,-37.4081541439,-75.3856871536,48.5791865887
L Grid23,245.703604972,1220.63240788,4.14133054504,1.0,-31.6671942338,-82.1563286326,42.7849757784
L Grid24,255.764325062,991.660287354,5.14883587017,1.0,-26.9967648252,-89.2640062603,38.118654037
L Grid25,314.868495963,1680.96022692,19.4240287388,1.0,-60.9983846455,-22.0391983496,50.5316914999
L Grid26,235.985594662,1047.83579451,4.19446839409,1.0,-59.7804472155,-33.7027360025,51.8562081537
L Grid27,241.148539667,1052.52134023,4.14745492887,1.0,-58.7085985978,-44.530412454,51.5069450231
L Grid28,353.999567142,1479.83544391,16.0859277821,1.0,-55.4120036635,-55.9929051446,49.6897051314
L Grid29,52.7699393291,85.9073769326,42.3678864281,1.0,-52.5512782101,-65.814895819,45.6414180775
L Grid30,174.359364386,3316.66491219,34.6277935719,1.0,-47.6715863291,-77.1580473695,39.3083690769
L Grid31,26.3084171256,3.22528501318,22.9275608757,1.0,-39.3525559889,-83.7876901624,35.4515543148
L Grid32,177.423877445,4847.50692252,20.7543696144,1.0,-33.5656720216,-89.2900771715,29.5055472036
L Grid33,62.2355380212,4.79597066948,50.6015863815,1.0,-66.4290849126,-23.3943323205,39.9361826267
L Grid34,65.6084457138,9.93471420444,50.6881407578,1.0,-66.5255346364,-35.0273361721,40.4143891439
L Grid35,39.6279429406,7.55689082113,30.9073636562,1.0,-65.1043523102,-45.8118400265,39.3790534452
L Grid36,53.3559765348,5.5940667158,43.3334054718,1.0,-61.5675372061,-56.581096127,39.194864652
L Grid37,60.8183976759,7.62458431571,48.2473797409,1.0,-58.1358275374,-67.0717231659,33.7474571821
L Grid38,49.4505615285,5.19995440214,39.7374851349,1.0,-51.0718705676,-77.0636154809,31.644241656
L Grid39,35.3143354426,2.64808221781,30.1390465199,1.0,-41.1615283592,-85.8036949752,28.1194493749
L Grid40,54.3282342865,1.31834705772,48.6594971146,1.0,-34.7098875263,-90.7800501718,25.9963724442
L Grid41,31.6763237729,4.10397526351,26.4539730263,1.0,-67.0956916446,-24.3839022186,28.3475059644
L Grid42,42.3271128838,4.11588034356,35.2127482258,1.0,-67.5791472495,-34.8928250767,28.3614149312
L Grid43,38.4468750692,4.3623554037,32.2606467579,1.0,-67.0100161352,-46.5917112706,28.504301971
