,SD_channels,Kurt_channels,standardizeDenoms,goodChanInds,X,Y,Z
GRID1,79.3078493447,3.5583321137,62.7402381454,0.0,29.4522079338,-77.0871488365,58.0722373267
GRID2,62.7074904923,7.40356283902,51.017719281,1.0,39.3266763396,-69.0930995519,58.7852667156
GRID3,52.0040390911,7.24498657535,38.0656520668,1.0,47.3039781622,-60.2054732209,58.8325157376
GRID4,40.6933512156,23.5159643342,32.7657405212,1.0,56.0352005195,-52.0921117585,54.402050736
GRID5,45.935737678,17.0877944854,34.1982595619,1.0,61.2771972356,-40.5165430452,52.9364959545
GRID6,60.9308667119,9.53858645058,49.8844643715,1.0,64.7810996971,-31.8632645638,48.6002204814
GRID7,71.974195102,8.31520844321,55.2801829697,1.0,66.4301456464,-19.3709650202,44.6091517097
GRID8,56.1113108729,3.94199615159,43.8000887512,1.0,65.9344180362,-11.6423476675,41.4087945065
GRID9,115.044877785,2.97326208734,84.4359884033,1.0,34.883369358,-81.8417540329,49.3481886403
GRID10,62.6936913303,3.0897273171,51.2267019493,1.0,45.1358930251,-74.1524437284,49.8299942102
GRID11,45.101246613,7.25950187547,36.8714573112,1.0,52.6014883915,-68.1825027155,48.3909872096
GRID12,51.6261626278,12.6382545057,39.9380125763,1.0,58.8722258026,-56.5632800091,45.9368658231
GRID13,51.2744490947,13.9521403756,38.7405007702,1.0,65.8796869151,-44.3672955143,42.676432708
GRID14,66.9301807821,12.5306869544,49.1430569138,1.0,68.7095636026,-35.6284904427,37.1539107128
GRID15,89.6126564207,10.0402758325,62.6444650269,1.0,69.8318838947,-23.8081530995,33.4288936077
GRID16,95.3111011467,5.89915682113,69.2389990631,1.0,68.4195423663,-12.8129970919,30.4124981884
GRID17,105.105944984,7.97565948576,87.7159716934,1.0,38.0194238505,-86.3404326199,38.5883165566
GRID18,76.6863552725,1.7564736632,64.2896938225,1.0,46.1675957854,-80.3320947998,38.2170277487
GRID19,72.3852885559,6.29132477113,58.0466992767,1.0,55.7592061697,-71.7737120814,36.7367710716
GRID20,78.5730805529,15.8998355224,54.2858595978,1.0,62.1231562356,-59.8823610141,34.3164245213
GRID21,65.5311799099,8.15659661876,51.3318069237,1.0,67.0905043448,-49.0585440793,29.9162031823
GRID22,91.8746414142,5.65470959421,72.3871713043,1.0,69.8638932403,-35.7343663326,26.4762691288
GRID23,68.6272567402,3.63797861136,57.157124572,1.0,70.1975527141,-23.8386648176,21.8497809595
GRID24,78.0963657529,5.39545545857,56.4883132965,1.0,69.3746081546,-15.2471981107,19.2762894138
GRID25,114.453347566,1.80147058555,89.2153237885,1.0,38.1057884923,-89.9957455617,26.3304084913
GRID26,115.779498559,2.62495486481,84.0013614624,1.0,47.1375891539,-83.4574946108,25.7381466698
GRID27,66.6418858151,2.40774691105,56.9176408745,1.0,55.8384885139,-73.9685020992,23.0484184533
GRID28,73.4652892794,5.66513270758,60.2348554413,1.0,63.6697052652,-62.0547846718,21.5841144806
GRID29,65.7572293237,3.28974688518,54.6813153671,1.0,67.4806025759,-50.5529698349,18.4806864466
GRID30,73.1099002342,1.76065236208,65.0405462494,1.0,71.3014378447,-39.1174985053,16.633121716
GRID31,88.404454675,2.03583308957,76.0690182381,1.0,72.3498704583,-27.1181944593,11.5330915033
GRID32,63.5639173478,1.83191104661,54.1437608849,1.0,70.1555957735,-13.8851974523,7.84353580026
GRID33,101.64459312,0.944150553152,88.2704196625,1.0,39.5119083389,-90.3343570427,16.7185468296
GRID34,78.689334507,1.5298011439,70.3494446548,1.0,48.4643451688,-83.6164653148,13.469215377
GRID35,79.6521250722,1.04179758645,73.316460125,1.0,56.2298062739,-74.4350007635,13.4853713792
GRID36,70.1576250117,3.8757858021,60.4696958336,1.0,63.2602054661,-64.8878629806,10.0559630532
GRID37,69.7603108877,2.12167639372,60.154663694,1.0,68.5879774345,-52.8886818279,5.81401786174
GRID38,142.119530556,0.113663841233,142.148030365,1.0,72.6055588375,-42.5435867715,3.34882135935
GRID39,74.4833012452,2.48875603783,64.8592141525,1.0,73.6444526857,-30.2773938654,-1.40865751649
GRID40,48.2143594114,4.68119853625,39.7468198185,1.0,71.366658179,-19.6678119566,-4.00794309805
GRID41,140.101480558,0.603996831731,122.116902196,1.0,39.9404949729,-93.118641023,6.25065963578
GRID42,97.5964493255,0.843003629396,89.2966070801,1.0,48.4890629062,-84.7663663263,3.17674208363
GRID43,128.712442463,0.339080153262,121.784360101,1.0,54.6468826877,-76.3430169757,-0.397295854221
GRID44,76.0683413773,1.36980554546,67.9605687561,1.0,61.1852252784,-66.2528174542,-3.66275937625
GRID45,64.7451940722,6.7075046597,58.8448840073,1.0,66.6606459448,-55.3197453055,-8.00073677228
GRID46,79.3646246453,5.34992707852,62.8751032562,1.0,71.1349103835,-44.1967184936,-10.2130493805
GRID47,55.6720724335,10.793651686,41.4297210331,1.0,72.263388121,-32.8199286697,-14.2003905037
GRID48,44.0545239865,3.70932247518,38.943044458,1.0,71.3760050598,-21.1199625037,-15.2896833017
GRID49,135.271810236,0.555321191388,122.021694644,1.0,42.3869115547,-93.8786637156,-6.68425503529
GRID50,131.165269131,0.566936821403,112.819331094,1.0,48.2525800894,-85.1180938124,-10.655642009
GRID51,96.843394518,0.899949220723,84.4443022385,1.0,53.841340973,-74.1286683511,-12.9646397241
GRID52,65.6864927995,0.793926519917,58.9563233322,1.0,57.1040865099,-65.1680688205,-16.9140233019
GRID53,59.8683536952,3.06218777405,49.8857199303,1.0,61.6550143777,-56.7275091665,-19.8062440976
GRID54,63.9551754957,4.02884949797,54.2453706551,1.0,64.7325305334,-45.4683662002,-22.1563769226
GRID55,62.9829557544,7.09887872515,48.5792657776,1.0,66.7755926233,-34.390934312,-23.907708748
GRID56,70.9751687006,17.4806911178,52.8503713303,1.0,68.7085983018,-25.5418599286,-25.702043863
GRID57,89.9343099979,0.704661623595,80.9569085564,1.0,36.5641918935,-92.5087238386,-18.2649664789
GRID58,92.9721924304,0.771260107853,82.3170746086,1.0,42.5887780655,-84.7640209616,-22.8273019366
GRID59,107.307629295,0.604085430796,94.3198602081,1.0,47.0386283686,-73.6674535581,-22.7522299402
GRID60,57.3063792984,1.2645324925,48.5556250763,1.0,52.0410463739,-64.6679478551,-22.6182766613
GRID61,56.4116025965,2.41769124828,46.9603528152,1.0,52.3890491874,-53.5830984914,-24.9509738885
GRID62,74.0030966713,2.3358639105,65.7154656487,1.0,56.9625259578,-44.5089756683,-30.0228087214
GRID63,48.0920175818,9.21196457779,37.7510101685,1.0,56.9012624752,-34.5715774845,-32.1010377091
GRID64,52.9117632915,5.54763048155,44.4680007751,1.0,62.8781238292,-24.1067395679,-33.5131664986
RST1,45.9140820658,2.52369877372,36.4621225273,1.0,19.6813637567,2.29599116693,-43.9244502786
RST2,45.4211949881,2.85594723126,35.2980215927,1.0,27.0071383434,2.36858538999,-54.845587266
RST3,56.0132234176,3.88852440922,39.8021237892,1.0,36.6423191264,0.898946736679,-55.1842246789
RST4,51.3164398752,5.34808779561,33.8347187393,1.0,44.9697584836,-2.68245898916,-53.371790219
RST5,37.3554980433,11.9112066311,25.8213919739,1.0,52.3024611272,-4.77830142834,-48.0023346707
RST6,49.7137213172,10.4340870567,35.0519999405,1.0,60.0982910322,-5.12102105987,-41.0239516094
RDA1,46.3222485742,2.11077796616,38.520729911,1.0,32.1685815443,-58.2028653603,0.513214399628
RDA2,45.284574545,0.611452868995,42.1812549683,1.0,36.9483879573,-60.461684984,0.84190992003
RDA3,123.952698516,0.593522110761,119.463193886,1.0,41.7900484476,-61.2037784191,1.88701767373
RDA4,87.4138157428,0.948934965412,80.1748820755,1.0,46.3039146928,-64.264572995,2.39801736863
