,SD_channels,Kurt_channels,standardizeDenoms,goodChanInds,X,Y,Z
GRID1,55.2613119397,17.1416350862,47.0422695419,0.0,-46.2659673039,-88.2891304598,0.925116823873
GRID2,67.5788437377,140.362583973,51.5187607567,1.0,-53.2227074733,-78.687284879,1.32008709071
GRID3,60.9707181949,615.061316634,41.5177359861,1.0,-58.4197394336,-69.7889399685,1.45414061861
GRID4,126.437981126,5709.04633789,43.4831775152,1.0,-65.203127119,-59.8107367758,1.4218526909
GRID5,84.0066415875,6685.63581765,50.2178717834,1.0,-67.9382024126,-49.4595984798,1.70342696146
GRID6,81.3944423182,256.345259923,57.0998382889,1.0,-69.5434652043,-39.0063039171,1.10819018982
GRID7,103.949711001,6036.21097581,50.4457076283,1.0,-69.2175047068,-28.239627436,-0.569797866427
GRID8,88.7898983,6718.54491102,35.0967645699,1.0,-66.193503304,-16.0827554696,-2.40890044098
GRID9,62.5722044828,201.135522756,48.6426007999,1.0,-46.0973389727,-88.0491040314,12.2202548105
GRID10,60.2606859936,494.616594554,43.5501547892,1.0,-51.8951606063,-80.2007535382,12.4230214883
GRID11,67.6295088487,576.019026727,46.9408492367,1.0,-57.1895604118,-71.0394771266,13.6273206148
GRID12,160.085416657,2401.80964204,80.7583549438,1.0,-63.9268723909,-61.5138794148,14.1930260153
GRID13,110.797561565,2564.75521865,73.424211953,1.0,-67.5580729786,-48.8586795024,13.7072841265
GRID14,79.913056521,103.961344255,59.9947241695,1.0,-68.8977222808,-36.0038012757,12.7372913907
GRID15,64.1023846305,185.359391997,45.9664946222,1.0,-68.1457550608,-26.1993596588,11.8007855932
GRID16,112.394363141,9491.96234139,40.8740090218,1.0,-67.5518324378,-15.85506681,8.81148772022
GRID17,74.5808527948,62.5251517684,57.3510631577,1.0,-42.128722304,-88.0587896587,26.5391342807
GRID18,110.872699463,89.6891850876,72.9893559574,1.0,-51.7584058571,-80.0054863711,26.2652343962
GRID19,86.5738236252,7312.78645789,43.3071970963,1.0,-57.5396526967,-70.6497014951,27.3362145892
GRID20,65.3863154088,277.150735453,49.2428540417,1.0,-63.7816231353,-60.2766597229,28.7422971927
GRID21,140.694733256,993.195433144,107.349494939,1.0,-67.8586820623,-49.3857852726,28.3270718045
GRID22,107.753702143,4440.40635628,67.9371090363,1.0,-69.3445827383,-38.8828049115,26.3236403976
