,SD_channels,Kurt_channels,standardizeDenoms,goodChanInds,X,Y,Z
GRID1,60.1173298063,6.70008571759,43.451116935,0.0,41.1347377023,26.0509132057,-33.4521570804
GRID2,54.4603914849,4.59854343794,42.3027613861,1.0,50.1741579458,18.2961622855,-34.1636688993
GRID3,50.5216285619,12.0377470451,36.535637756,1.0,59.0311317923,6.54567414839,-33.3364216734
GRID4,34.2125086545,6.08297850468,25.0244797691,1.0,62.8005499269,-5.66545413652,-29.2717625326
GRID5,59.9628881883,8.94766808039,36.4853673317,1.0,65.6586579922,-14.5843148476,-25.9388425339
GRID6,53.5329531653,4.01064673538,41.5857977348,1.0,69.9899315386,-27.3984368889,-22.1529217505
GRID7,77.3674298405,7.9430367064,39.9244898689,1.0,71.6567397451,-36.4484693722,-20.3945361873
GRID8,83.4054142678,5.35848265504,60.4271538826,1.0,69.8658947885,-48.2083378776,-18.4608097078
GRID9,30.284619013,12.7553022995,25.1622801727,1.0,42.521221234,30.057651259,-23.6538328512
GRID10,56.7221646739,4.18435567141,44.3210438416,1.0,54.3736646599,21.7278761164,-22.3274512679
GRID11,45.331505234,4.70042585245,35.5890906578,1.0,61.9184594779,9.19716299116,-16.5036775615
GRID12,46.4191413828,4.29672555666,37.0417325729,1.0,66.19251501,0.0255536155759,-13.6165703082
GRID13,50.7176212037,4.45344800172,40.1077335823,1.0,70.3236188328,-13.3406402331,-11.9980525237
GRID14,54.0388407009,7.02038468446,35.2863454617,1.0,72.5906323415,-24.6990096399,-9.14054121504
GRID15,61.2975250057,4.76355974691,45.1581678612,1.0,74.3082207799,-34.6380177829,-6.71678621786
GRID16,59.9996513104,4.39681654007,44.785292355,1.0,73.6575704734,-44.9182791756,-3.77111957801
GRID17,23.4870012822,3.29409614394,19.4569730175,1.0,53.7435790073,31.8711109998,-14.0819833859
GRID18,25.4480557159,8.41114207777,19.9288892057,1.0,57.8522824591,21.4490047753,-9.13930573361
GRID19,49.9547307708,2.48938642166,41.0528780743,1.0,61.9360378708,11.944618821,-5.43693846842
GRID20,35.790850137,4.9005525254,26.5499949944,1.0,65.6088069111,1.83124267108,-1.61089614038
GRID21,43.807613564,11.7253917206,37.8014248123,1.0,69.9522376118,-9.38194864666,1.07079570746
GRID22,51.5820647462,3.52957072577,40.1392300095,1.0,72.9134827535,-22.2330900845,5.32547153576
GRID23,39.0177741575,6.10093472977,28.8718370625,1.0,72.7678999548,-32.402437161,7.17037429696
GRID24,44.9601222667,1.94732474667,38.7712082314,1.0,72.8198701181,-42.1716038062,8.1809762349
GRID25,32.5514500519,2.66389984821,27.8090659424,1.0,57.103214364,37.5187114537,-0.780119689353
GRID26,24.1190793953,27.275224,19.0488117851,1.0,61.394283322,21.0182212115,3.76205665278
GRID27,25.98070714,4.74719462513,20.7085403051,1.0,62.8806291393,12.5086446337,6.23764174473
GRID28,28.823355973,8.13483854902,23.7278099258,1.0,66.8554739947,2.46072860456,8.90920499333
GRID29,24.7034323492,61.4506137248,18.5345600779,0.0,70.7753433407,-10.2684270771,13.9999491712
GRID30,28.4801746664,7.96124815402,21.6865696913,1.0,71.521184554,-21.3603930385,17.1599281768
GRID31,22.3750805361,4.99176516091,16.9784250544,1.0,71.9650656989,-30.8004236233,18.1309621686
GRID32,54.9056507597,3.19553888124,43.8404758919,1.0,70.7401999586,-43.8212513094,19.7393026278
GRID33,31.2933068963,4.64607876618,25.6336435192,1.0,54.8536376765,41.8746704468,16.1622103303
