,SD_channels,Kurt_channels,standardizeDenoms,goodChanInds,X,Y,Z
Grid1,48.455254439,179.081555274,27.0170444784,0.0,-39.6221011139,33.8259618202,45.0688754656
Grid2,45.4287809311,396.217466592,28.4285145287,0.0,-40.5329274579,24.5693232139,50.4443566619
Grid3,50.5371166678,78.9225498535,35.7726680557,0.0,-45.8937567215,13.492001457,53.0157087527
Grid4,71.1615426428,50.3586113435,58.476982663,1.0,-47.9313484393,4.70216909678,57.3641043107
Grid5,40.9774779221,2932.58638406,33.4433633308,0.0,-48.8868545673,-8.31323053998,61.945090962
Grid6,51.9300423514,93.974177147,44.2170035471,0.0,-49.9816366605,-19.5870373005,64.4483397528
Grid7,86.7907154376,62.8674703033,71.1749943455,1.0,-50.6863674978,-31.8066640467,66.5958246096
Grid8,54.1569241634,2.578439375,45.9282792589,1.0,-46.1508122863,-43.171086447,66.8307387762
Grid9,38.4860787869,7.57438289293,22.4464393773,1.0,-47.4651177112,33.9202534621,36.2969788132
Grid10,37.7745623913,7.8309282879,24.4794286961,1.0,-50.1416171921,23.2970408535,42.317445703
Grid11,42.5772423089,5.80737128779,31.2786272964,1.0,-53.2388802722,11.2496582057,46.8586539648
Grid12,52.9716544837,2.67255019587,43.2069036833,1.0,-54.9692494756,1.63679392535,49.4010807828
Grid13,77.6688867799,1.99389405281,68.5989214199,1.0,-56.8127202817,-10.1937189524,53.2462727971
Grid14,81.6177511474,2.62893705773,69.2846346657,1.0,-57.1125515769,-20.4030758375,57.3207644001
Grid15,89.119602956,4.15964068465,73.6405130585,1.0,-57.479468063,-33.9879354773,59.1388477426
Grid16,61.9609020063,3.19325828434,51.5584437664,1.0,-54.6864782459,-45.9676175683,59.4550663579
Grid17,32.6384294162,7.12733769193,20.5837889465,1.0,-54.1100125477,31.0062593071,27.5773415822
Grid18,30.980819441,6.33257063808,21.5110120337,1.0,-57.38747868,20.9595687633,32.1575445587
Grid19,45.0068540782,4.4518143198,34.4763912815,1.0,-59.6942538915,10.4608887408,35.8122350039
Grid20,60.1263778042,7.78990568636,47.6584010777,1.0,-61.9910128188,-0.463248873968,39.1964804666
Grid21,124.252324756,4.77851280826,92.9978727573,1.0,-62.9453598255,-10.77036656,43.624468693
Grid22,110.923703431,4.07829647571,91.6024549129,1.0,-65.3398367627,-22.9584280205,46.7338037934
Grid23,126.228441742,3.73902467602,99.1624090187,1.0,-65.3218675445,-35.9992995992,48.9959634965
Grid24,120.06461846,3.3657472231,102.633220276,1.0,-62.164577698,-48.7725856954,50.7132285401
Grid25,26.6994373474,9.17161611846,17.5574794304,1.0,-59.0196328,28.3647653535,15.6244733063
Grid26,26.932766918,10.8925362239,19.2187250839,1.0,-61.1373638038,16.8641352129,19.7594229783
Grid27,62.1958111647,5.70889270338,51.9523725048,1.0,-63.2845441825,6.24220256932,22.731871006
Grid28,44.2864317578,10.0019172026,36.8647539282,1.0,-65.5763092706,-3.52134324944,26.6070149304
Grid29,60.5993355463,10.251165808,48.2714955185,1.0,-68.3820169985,-15.4523158448,30.0721258845
Grid30,89.7490282002,4.00445472271,70.8390390541,1.0,-69.5937042948,-24.9333756307,33.411831307
Grid31,122.167783912,3.48472372348,90.424523037,1.0,-69.5161353826,-40.4615951418,35.818612225
Grid32,80.0688647388,3.06512804354,66.1918766808,1.0,-65.3337349463,-50.4655117972,39.2165395528
Grid33,25.8563338885,9.15759675795,18.9853247666,1.0,-57.9844298247,24.4382855368,3.66149268165
Grid34,27.3339561958,3.81198434521,21.4237012115,1.0,-60.2028137888,14.9824338205,6.21492771857
Grid35,37.1276524974,9.71184715742,29.5699121893,1.0,-64.0950613337,4.93693974213,11.6245943025
Grid36,38.5884040662,7.15973536622,30.3139113579,1.0,-66.4646351834,-5.31123395691,13.9644944303
Grid37,51.0329045516,3.75093836974,43.1218367483,1.0,-69.7896302351,-18.4582173734,17.5369071547
Grid38,45.8081001971,3.33801517522,38.7844679501,1.0,-71.0470552925,-29.3468466052,19.1356810969
Grid39,77.5718525559,2.93216028177,64.3674564594,1.0,-71.3072152954,-40.8590282591,22.92087874
