,SD_channels,Kurt_channels,standardizeDenoms,goodChanInds,X,Y,Z
RFGRID1,74.3556882983,3.38845420703,59.7232378624,0.0,9.82216094129,-39.6012191429,82.4676870891
RFGRID2,72.9999575954,2.17915956642,59.8428156967,1.0,12.7323566432,-25.5106150073,82.8444525808
RFGRID3,53.8331228527,25.5712422578,41.3008594162,1.0,15.9458736446,-18.829865224,80.7534671737
RFGRID4,56.6766325101,78.0547191849,42.7518131138,1.0,17.9647826002,-9.94448570019,80.9909159917
RFGRID5,68.1370831611,3.40941418044,54.5776582443,1.0,20.417239606,0.418593593738,75.5481422357
RFGRID6,65.6094366487,201.24142164,48.350380806,1.0,21.0556024347,9.94346642807,71.6809431059
RFGRID7,64.1987012797,284.431754669,48.808309108,1.0,23.1737545366,19.768115977,65.906425536
RFGRID8,62.7544027685,8.92255857706,48.2635323349,1.0,24.5707570404,28.713243247,60.3014834706
RFGRID9,53.8532694211,2.83132944095,43.7348279732,1.0,22.0043742579,-42.1461383107,79.3615045581
RFGRID10,50.4980059668,10.6795214121,41.0081077892,1.0,21.8427819222,-30.2071044953,79.6566493771
RFGRID11,63.3596916348,2.18030625282,55.7252729004,1.0,26.0007176745,-22.257691187,77.0288388035
RFGRID12,59.4232886433,6.86068963529,45.7940150631,1.0,27.7321364314,-12.0870561098,76.6180098808
RFGRID13,84.5045292196,2.62527375783,66.3252034492,1.0,29.2120462497,-1.64869760527,73.2012813005
RFGRID14,83.2399353085,1.92040186564,70.2653561508,1.0,31.5395090328,9.63617853101,68.2715689189
RFGRID15,79.6584761825,5.12745414169,62.9503349808,1.0,33.3870865601,17.258516568,63.8882558907
RFGRID16,85.0102815862,3.09055645409,65.8044236847,1.0,35.0227227695,27.1421000586,57.3243856464
RFGRID17,66.5177097341,124.4969121,51.153953064,1.0,29.3545729237,-44.0026706693,75.9438507538
RFGRID18,70.5075740679,174.693033648,54.3773966194,1.0,32.7833826864,-32.7388438991,74.3568041551
RFGRID19,95.3319852337,8.09189117981,78.8972039726,1.0,36.7170036618,-23.8118886011,74.7832150346
RFGRID20,96.1910141693,10.3435713927,72.9962756699,1.0,37.7340473702,-13.7453617218,70.6569337708
RFGRID21,99.8253337371,14.2482600767,84.304064241,1.0,40.5615639868,-4.57714967379,68.6703205848
RFGRID22,72.4972953834,10.4027523958,61.3016731934,1.0,42.5548322145,5.79756184392,63.925338823
RFGRID23,82.7671918013,3.0847135102,64.7555796524,1.0,43.5731487647,16.2093957232,59.5365786671
RFGRID24,74.7290067375,6.58445526628,52.1331701408,1.0,43.9829781212,23.6817275692,52.9740642891
RFGRID25,79.27385786,3.41543204452,62.4336046761,1.0,41.4807135467,-48.2356533152,67.8947440402
RFGRID26,80.1391617582,3.02335082269,66.500964711,1.0,44.0068729251,-38.3409485151,68.1656495468
RFGRID27,112.869922972,3.71536792223,91.319459317,1.0,46.8346348603,-26.661003096,68.5421154114
RFGRID28,118.292041071,2.23245313435,99.5425096436,1.0,50.1419451187,-16.9315916926,65.8897051023
RFGRID29,72.6475285183,5.59616591106,54.019545401,1.0,49.1998153881,-7.06650767798,61.8206806696
RFGRID30,49.7191958793,229.517427897,36.2800212593,1.0,51.4537094389,1.58153580888,55.4709552634
RFGRID31,35.4411293297,7.65914763722,28.7760667717,1.0,51.5591061722,11.3842018515,52.0956109195
RFGRID32,33.811570938,193.783343302,24.7005314655,1.0,52.3437806229,22.2953026039,46.7435736768
RFGRID33,99.058320633,2888.08839974,61.0848913559,0.0,49.3462376386,-51.5850374961,61.5794492275
RFGRID34,68.2185477218,4.90500026584,54.9003142273,1.0,53.2592912114,-42.704431984,61.1146189144
RFGRID35,104.711006152,2390.71320891,66.784336409,0.0,57.9947911635,-31.2869239642,59.0316333579
RFGRID36,94.407111644,2.38043997503,79.5109968887,1.0,61.0237009827,-19.2852631257,56.1902565807
RFGRID37,63.3071669136,2.17004962936,54.4954134888,1.0,58.9782748661,-8.63341655678,50.7029647902
RFGRID38,96.4474917033,16418.6649239,43.8320517712,0.0,60.1548458624,-0.658660624043,45.6305299517
RFGRID39,51.0858800708,32398.3248343,25.3423595387,0.0,60.1391123956,9.26094553006,39.3311039076
RFGRID40,67.1609926327,24705.1838698,22.2927345222,0.0,59.5550788782,17.3679404431,35.3815797498
RFGRID41,135.8322935,7.18770511202,76.5579339569,1.0,56.8134454996,-56.2655530339,52.2172936906
RFGRID42,77.1346182109,3.95910708185,61.2711438858,1.0,62.4822161511,-46.7842521593,51.2004551773
RFGRID43,99.8982017008,8.6596721865,68.7468539566,1.0,65.8047904681,-34.2658225662,50.4696640657
RFGRID44,81.4013729252,4.16109299584,64.3582688232,1.0,68.6689109511,-24.1058885218,43.6685759989
RFGRID45,65.3950581061,3.11877617157,55.8902657661,1.0,67.1670956344,-12.7533333851,39.9124609225
RFGRID46,77.5281427458,4.52596858268,63.2233907364,1.0,66.367719393,-2.88184110914,34.7926209443
RFGRID47,66.3048286043,2.96961322503,53.3848038826,1.0,65.3376371667,6.14026245642,28.2615048342
RFGRID48,51.9838098465,7.12085004314,43.8505345013,1.0,64.4966464247,14.185651223,23.2090841002
RFGRID49,88.9337313204,658.073990856,56.5770620728,1.0,59.4502640349,-61.2016752769,39.2373429729
RFGRID50,148.364329422,157.83766343,83.9963392273,1.0,65.8561683395,-51.1232595428,38.8293143999
RFGRID51,94.8749476454,1504.50356187,61.0241324913,0.0,69.8486696728,-38.9551432442,36.9191073569
RFGRID52,86.6008318935,1670.65244275,59.7822321579,0.0,71.3151025906,-27.6214193771,31.3070063367
RFGRID53,82.8709653195,3561.99489017,57.6689344437,0.0,70.5118157917,-18.8085722275,26.3545326932
RFGRID54,105.621610215,2.99213284285,84.1134794678,1.0,69.5571545243,-5.96403325282,20.9953780464
RFGRID55,69.1818102423,2.43818875168,57.184130397,1.0,67.1917068573,2.53744775511,15.6775367674
RFGRID56,33.2779180056,28.3259455494,28.1325617924,1.0,63.791794805,10.4193709671,9.70759536162
RFGRID57,73.065703794,5.17283131872,53.2188495529,1.0,63.1612746221,-61.807526749,26.7843376601
RFGRID58,72.3251883319,3.67653252605,57.9840174843,1.0,67.1428763712,-54.7639638255,23.8916606567
RFGRID59,63.1440366827,4.54592093782,52.3547819206,1.0,70.2487559175,-42.7792055352,22.0496318525
RFGRID60,89.5178519401,141.541875937,65.4852685616,1.0,71.8511021528,-30.5100169737,17.3311907873
RFGRID61,64.8290315012,3.43412262571,54.7629436546,1.0,71.5071704096,-21.1455020575,12.5784299136
RFGRID62,62.1965481893,2.25758223484,53.3575322411,1.0,70.22573373,-10.0559341367,9.12765743605
RFGRID63,49.9686695632,3.89459594815,42.5583609158,1.0,66.2562233481,0.0421748600199,4.13062122868
RFGRID64,36.4934247157,24.5372769251,29.9417880558,1.0,62.1312414013,9.03088506127,0.253689297938
