,SD_channels,Kurt_channels,standardizeDenoms,goodChanInds,X,Y,Z
GRID1,55.4017124686,65.8714302178,40.5873146175,0.0,27.2202146128,43.5616812638,46.9979602292
GRID2,34.7553560385,7.42379393647,30.2627840996,1.0,35.8426599349,39.3512478085,41.9321041281
GRID3,36.4837653185,7.19361432428,29.1955831758,1.0,44.5477968434,37.8833539886,32.0672525069
GRID4,45.4986359445,8.72497035081,35.8909761921,1.0,50.9613878426,34.9881699249,24.3270160059
GRID5,25.7255477148,9.94296526129,22.0827720091,1.0,56.4928581156,31.3690871851,12.7573425743
GRID6,43.1663924472,13.5506586654,38.6769183123,1.0,58.7694093727,24.9180358477,0.641397560848
GRID7,20.2898991494,15.1842568378,17.9843934511,1.0,57.3379612958,19.5257175347,-12.9642518338
GRID8,37.2097498014,3.7004825776,33.4056385969,1.0,57.0478098597,15.4507991673,-26.2468479315
GRID9,49.2007223115,4.6120322558,43.1039874533,1.0,27.345435261,32.9632883909,53.8960921999
GRID10,47.4323053705,3.37803875169,43.9037557714,1.0,36.0423722103,31.8094926452,47.5921212922
GRID11,53.1810555155,4.36345733079,46.5170048309,1.0,44.4219368221,29.330396138,40.6143831401
GRID12,73.6974125564,8.44777384876,57.1648954628,1.0,53.5377669928,26.1303982596,31.2345865777
GRID13,42.0289298965,3.39601306861,37.5950649611,1.0,60.1682772541,22.3196262998,19.478983376
GRID14,27.7062961716,29.2154485368,24.5996555185,1.0,61.5984395333,16.0857100643,4.48852420836
GRID15,21.3663619908,42.2438520505,18.8147243039,1.0,60.6294526209,12.0284396877,-6.15998935818
GRID16,34.1338019659,10.5284512142,29.9400842852,1.0,61.9670799569,7.84316602064,-17.0297689607
GRID17,52.381294869,2.30852904269,46.5006684277,1.0,28.4946428647,23.6960217354,59.798259621
GRID18,86.5468516348,9.30874467255,58.9458377197,1.0,36.5364674464,21.6740986521,55.2945504309
GRID19,78.1011542041,5.53127618892,64.9370559689,1.0,46.8760808137,20.5830595372,47.3672281982
GRID20,44.5722082333,3.45791993105,37.500380559,1.0,55.4374580983,15.9115716565,37.1962269468
GRID21,36.0620597862,3.58595867289,32.5141621731,1.0,61.5552320219,12.87875889,27.4882827496
GRID22,32.6836116984,1.89014843566,30.0985646467,1.0,65.1896691021,6.02910671814,11.4615986179
GRID23,32.4138585659,14.9661635023,29.406951123,1.0,64.6601362798,2.88439460224,0.351445549961
