,SD_channels,Kurt_channels,standardizeDenoms,goodChanInds,X,Y,Z
GRID1,46.892633796,17.0476861379,27.1459400293,0.0,41.3072229444,-65.9490555646,59.4078408301
GRID2,34.8040666015,6.32816035936,19.3741478488,1.0,44.6951865284,-57.0599219733,61.4041690337
GRID3,33.4694479796,22.6971777016,18.2593912225,1.0,48.4891505805,-47.5827207212,62.1162947923
GRID4,44.6088396235,52.4106705607,24.5482426489,1.0,50.4397031354,-38.9030224295,64.4494468706
GRID5,55.6078367822,21.8741068256,31.1934811821,1.0,53.015260148,-27.9567264484,63.8316615208
GRID6,42.3505740043,102.300425512,24.9483289982,1.0,53.1331725818,-15.2565299674,62.3517738005
GRID7,50.8111122297,4.91423090699,29.2500458656,1.0,53.5296970492,-4.05385341073,59.4237142529
GRID8,44.3392433872,34.7450013607,26.0071185265,1.0,52.3585327332,4.85811891476,56.8342985747
GRID9,93.814932427,3.94588514268,45.071080438,1.0,49.4594973689,-69.509291809,49.1950360401
GRID10,80.6169760129,6.29361717205,36.2981052647,1.0,53.3614914611,-60.1728366464,52.7810595402
GRID11,62.4186924683,2.92595664039,35.8920719782,1.0,57.0480351467,-49.5320906579,54.8218099345
GRID12,94.3928562322,5.8189867884,44.5914173956,1.0,60.5930740933,-37.9209508568,56.224810615
GRID13,64.6099592174,2.51653204078,38.2040972168,1.0,61.6927137758,-26.3568761337,54.9592653895
GRID14,46.0249816769,5.75483919633,26.8007447868,1.0,61.2706456985,-15.9288224157,52.2039266487
GRID15,45.2712323053,38.5595329748,25.5510537678,1.0,60.1701588996,-7.40734190759,50.7909533942
GRID16,43.5918831625,7.79193035215,25.1501770386,1.0,58.604441627,4.32575458813,47.2224160324
GRID17,103.58677244,4.12866031994,46.8012022568,1.0,55.1407697042,-70.4911190833,37.2128693266
GRID18,73.5758428049,4.69555826735,38.7865379253,1.0,60.1499572143,-61.8151879536,39.7655259401
GRID19,57.3739232268,13.8655482447,32.071907147,1.0,65.0394469966,-50.3402789241,43.2387816858
GRID20,89.7926021263,4.61935338421,45.037439098,1.0,67.8898091282,-41.8976164638,42.0036391933
GRID21,64.7985106732,3.17504040167,38.6712202246,1.0,68.8286044254,-28.6561980117,42.7636143009
GRID22,52.8368688517,19.5509056668,31.2479099379,1.0,66.3034175815,-16.2268826578,42.8528049982
GRID23,59.1076313858,5.01518333873,32.1111108387,1.0,65.1589269924,-5.68913097354,41.2788523715
GRID24,40.4870863948,8.29329957054,22.6025040607,1.0,62.8584993948,3.66442141156,38.9686385243
GRID25,70.8080347651,3.74796749163,34.0658348728,1.0,56.3584824754,-71.7649162226,24.67277707
GRID26,38.5388751422,23.9834190355,21.1474627275,1.0,62.4661627256,-61.5162727655,27.2955465946
GRID27,70.1171345255,12.6526792765,33.4969352526,1.0,67.0351540739,-52.1034162394,30.1818629603
GRID28,52.4901149477,39.5669581854,27.1734251724,1.0,70.539111993,-42.63626022,30.0535301971
GRID29,53.8891943102,2.8421752533,32.3660161348,1.0,71.2218869884,-29.3833323008,28.4493517215
GRID30,65.7705882333,7.6163578739,38.7315280495,1.0,70.0566016508,-18.4394501164,28.3513484912
GRID31,53.9917681149,16.3602584881,30.3861130571,1.0,68.7673853158,-6.55302119014,28.021104897
GRID32,54.129471681,35.2170848262,29.2751160376,1.0,66.1775204455,4.39650755442,26.1021937612
GRID33,90.5289326615,3.7274133422,41.195203014,1.0,57.5971861408,-70.6268497567,15.6571696288
GRID34,40.0545665546,3.86830580755,22.4313747929,1.0,63.5769679078,-62.4373082256,15.7154603324
GRID35,34.1933030473,3.20249343756,19.2385538635,1.0,68.6577888005,-52.3718869062,17.3963335721
GRID36,50.2021044795,4.50651413132,27.6903378725,1.0,71.6244633619,-43.3411081657,16.3184953812
GRID37,51.7112868408,12130.4834775,27.1154644506,0.0,72.409378429,-29.9313067792,17.3622969083
GRID38,43.72819891,5.58540984126,24.8508959404,1.0,70.9461685647,-18.1385863103,16.3872482229
GRID39,44.4467322394,3.04768108785,26.7880661882,1.0,70.527496352,-7.70566405429,14.147917941
GRID40,48.9317226424,3.47606934174,26.7530773848,1.0,65.4809855073,4.74378761479,10.5110708947
GRID41,29.211571068,15128.3417248,3.66665262237,0.0,56.4926924278,-71.8604336478,2.71208682698
GRID42,208.296153159,3987.11252155,52.5462348392,0.0,63.1802739464,-64.0596877588,2.77321436718
GRID43,124.397778868,2.27486659392,65.6857253071,1.0,68.5587301272,-54.4431916784,2.6512487681
GRID44,65.2167632632,450.296650699,36.998332374,0.0,73.5265464406,-43.7559971958,4.17045862411
GRID45,80.7731806969,8261.07995322,32.8022125242,0.0,74.5246224768,-30.7329458199,3.9262283849
GRID46,113.25583701,11439.0604689,22.3438907659,0.0,73.5111901541,-18.9458755464,5.71981289212
GRID47,29.9346503433,14979.9633695,3.44029944685,0.0,70.6298004129,-6.3519738952,2.11470061403
GRID48,29.0622762453,9567.17022268,3.51025478461,0.0,66.2364505591,1.27861081817,2.56041225683
GRID49,59.7465953488,10.8408093092,35.0442629837,1.0,54.1897206465,-73.370024487,-10.0618694561
GRID50,111.143430936,1.60375588002,68.8774405529,1.0,61.8779484353,-63.274123281,-9.14319999601
GRID51,92.1107636232,3.89418758577,51.3292477329,1.0,65.8299097357,-55.7447454536,-10.0828603512
GRID52,110.853187542,3.55840633574,53.7350312576,1.0,71.7900940301,-43.7801964011,-11.1541314874
GRID53,60.2354928624,2.77742222026,35.0754172428,1.0,73.9600880635,-31.3282155395,-9.30642632213
GRID54,28.4536610846,15522.9269124,4.14892752399,0.0,75.4643459621,-19.283665837,-8.57081142535
GRID55,44.9895376098,4.38554511429,26.1204623983,1.0,72.5171750329,-7.75646689752,-9.96296689249
GRID56,142.521835033,5610.55874254,4.14997523689,0.0,67.3734776874,2.59066934139,-10.6263922529
GRID57,74.8605594763,1.93979498502,45.1266276026,1.0,50.2620682024,-71.0625670615,-20.9848863659
GRID58,91.6691959727,2.2663023446,52.5065320347,1.0,56.973105782,-63.5550500825,-23.3727012115
GRID59,122.249830217,9812.48068529,3.4594200305,0.0,63.8059473905,-53.2738827918,-22.5168767538
GRID60,31.7484168453,13609.255117,3.32816783252,0.0,66.9204770443,-43.5125446498,-22.474972509
GRID61,34.6474657031,10154.9098521,3.37191232038,0.0,71.1422315073,-33.6545509826,-23.1932724393
GRID62,31.5184274898,14021.7238768,3.98619657283,0.0,73.7462120347,-18.5416519809,-24.665768362
GRID63,29.6854375762,14527.7446466,3.42937781754,0.0,69.2797807741,-8.62046290557,-24.4294335851
GRID64,27.5968816981,12567.0913722,3.42797096958,0.0,66.2539436302,-0.852009823813,-24.2355711243
RF1,52.7121781008,4.30971601781,22.6894317112,1.0,14.3509364737,71.5831275174,-8.22760361399
RF2,74.836029688,282.355592254,27.2614881987,1.0,26.0558565776,69.5900573581,-7.62326601785
RF3,81.7791753791,196.98262933,31.7916729321,1.0,36.945774711,67.0849751582,-5.85531132704
RF4,108.85264671,65.7532962865,49.8090318707,1.0,43.9958954746,61.2560338265,-5.90567843754
RF5,109.706188599,64.580591746,47.093624441,1.0,52.3747075208,52.1496632941,-3.81293826906
RF6,82.2300730187,198.497475433,33.874899448,1.0,57.2859626769,41.9154745217,-2.76985174224
RF7,65.7735993363,491.714950998,20.8308406377,0.0,58.9316891786,30.6943787369,-1.67541240337
RF8,62.3814437193,578.91196628,16.1621025896,0.0,59.6414346921,22.1062574378,1.05876016527
RF9,80.5090936798,208.959828163,28.3662936733,1.0,13.7313776097,73.3928804692,5.60032608067
RF10,37.8124921869,3.63485318146,19.1091012291,1.0,25.8393073342,70.8251694665,5.31034164665
RF11,38.0179415222,3.92467508007,16.190147644,1.0,36.8512377746,67.3478841092,5.92448101209
RF12,48.4300561479,3.30903428115,19.8145089323,1.0,45.3249341626,61.7529792707,6.88038325793
RF13,24.40432067,9.47061143019,9.68933230419,1.0,51.8082225954,51.7658351461,9.0645708115
